filetag	runNo	nlexCs	lexCstartW	pChangeIndexation	inputSet	likelihood	SSE	w_ku	w_fi	w_ku_pl	w_fi_pl	predicted_p_fi_wug	experiment_p_fi
24_1_001_50___1	1	24	1	0.01	typeTokenInput_50	-0.019640444007782334	3.8046801603768336e-05	1.1500000000000008	0.15	7.029999999999893	7.389999999999885	0.654753460606321	0.5
24_1_001_50___2	2	24	1	0.01	typeTokenInput_50	-0.023295591527819202	8.037403251303334e-05	0.41000000000000014	0.9500000000000006	7.409999999999885	6.919999999999895	0.48750260351578684	0.5
24_1_001_50___3	3	24	1	0.01	typeTokenInput_50	-0.0314484916991785	0.0003151593898841771	0.6500000000000004	0.41000000000000014	7.209999999999889	7.3699999999998855	0.5199893401555827	0.5
24_1_001_50___4	4	24	1	0.01	typeTokenInput_50	-0.015210758651382165	1.9326442164346977e-05	0.2800000000000001	0.9200000000000006	7.5599999999998815	7.16999999999989	0.43782349911419993	0.5
24_1_001_50___5	5	24	1	0.01	typeTokenInput_50	-0.045537858761790284	0.0007691518158771752	0.6800000000000004	0.38000000000000017	6.7599999999998985	7.709999999999878	0.3429895373265057	0.5
24_1_001_50___6	6	24	1	0.01	typeTokenInput_50	-0.030904774633145206	0.00044285437855853436	0.4900000000000002	0.24000000000000005	7.14999999999989	7.349999999999886	0.5124973964842113	0.5
24_1_001_50___7	7	24	1	0.01	typeTokenInput_50	-0.017633706927606484	2.6625800134910097e-05	0.29000000000000004	0.40000000000000013	7.209999999999889	7.249999999999888	0.46257015465625057	0.5
24_1_001_50___8	8	24	1	0.01	typeTokenInput_50	-0.04886853083680594	0.0008615949842645465	0.32000000000000006	1.470000000000001	4.129999999999955	3.8499999999999606	0.2952543020019076	0.5
24_1_001_50___9	9	24	1	0.01	typeTokenInput_50	-0.01847969589097952	2.8507169612491183e-05	0.7600000000000005	0.11999999999999995	6.939999999999895	7.399999999999885	0.5448788923735827	0.5
24_1_001_50___10	10	24	1	0.01	typeTokenInput_50	-0.029681710268051165	0.0002466335532759806	0.9200000000000006	0.2900000000000001	4.749999999999941	4.939999999999937	0.6082590307465157	0.5
24_1_001_50___11	11	24	1	0.01	typeTokenInput_50	-0.03869894756143069	0.00023645735373812614	2.389999999999993	0.009999999999999997	3.8599999999999604	4.80999999999994	0.8069013157667857	0.5
24_1_001_50___12	12	24	1	0.01	typeTokenInput_50	-0.02318220828441094	6.504489901733141e-05	0.2	1.350000000000001	5.059999999999935	4.79999999999994	0.2911098274338787	0.5
24_1_001_50___13	13	24	1	0.01	typeTokenInput_50	-0.0214270232988437	5.090325187471749e-05	0.6700000000000004	0.5900000000000003	6.21999999999991	4.669999999999943	0.8361696387766366	0.5
24_1_001_50___14	14	24	1	0.01	typeTokenInput_50	-0.02953045957903308	0.00012878769029631897	0	0.7400000000000004	6.6999999999999	4.599999999999945	0.7957596977159008	0.5
24_1_001_50___15	15	24	1	0.01	typeTokenInput_50	-0.03284460200422034	0.00018273844556469766	1.0200000000000007	0.5000000000000002	5.659999999999922	4.34999999999995	0.8617617268275026	0.5
24_1_001_50___16	16	24	1	0.01	typeTokenInput_50	-0.02531056564960514	7.853778869739439e-05	0.05	1.6300000000000012	7.309999999999887	5.019999999999936	0.6704011598088576	0.5
